smiles,id,MW,LogP,HBD,HBA,PSA,pIC50
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,CHEMBL399121,302.28200000000004,2.518500000000001,6.0,3.0,96.22000000000001,5.080921907623926
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,CHEMBL508791,742.5540000000003,7.621099999999999,18.0,11.0,287.14,5.568636235841013
CC(C)C[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC(C)C,CHEMBL2441745,685.822,3.3129000000000017,7.0,5.0,171.79999999999998,6.214670164989233
CC(C)C[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL2441741,600.716,3.418100000000001,6.0,4.0,142.7,6.638272163982407
CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)ccc21,CHEMBL3099547,413.4990000000002,1.3947000000000003,5.0,0.0,78.0,4.858236769724212
CN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3Cc2ccc3ccccc3c2)CC1,CHEMBL3099546,449.5320000000002,2.5054000000000007,5.0,0.0,78.0,4.081393084855018
CN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3Cc2ccccc2)CC1,CHEMBL3099545,399.47200000000015,1.3521999999999996,5.0,0.0,78.0,4.172630726946175
CN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3C)CC1,CHEMBL3099544,323.3740000000001,-0.21820000000000017,5.0,0.0,78.0,4.927015255372069
CC1CC(C)CN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3)C1,CHEMBL3099543,322.3860000000001,1.488,4.0,1.0,83.55000000000001,5.366531544420414
CC1CCCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,CHEMBL3099542,308.35900000000004,1.3845,4.0,1.0,83.55000000000001,5.647817481888637
CC1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3)CC1,CHEMBL3099541,308.35900000000004,1.2420000000000002,4.0,1.0,83.55000000000001,5.928117992693875
O=C1Nc2ccc(S(=O)(=O)N3CCOCC3)cc2C1=O,CHEMBL484273,296.304,-0.15769999999999995,5.0,1.0,92.78,4.897566294318664
O=C1Nc2ccc(S(=O)(=O)N3CCCCC3)cc2C1=O,CHEMBL61320,294.332,0.9960000000000002,4.0,1.0,83.55000000000001,5.351639989019068
O=C1Nc2ccc(S(=O)(=O)N3CCN(c4ccccn4)CC3)cc2C1=O,CHEMBL3099540,372.4060000000001,0.7272999999999998,6.0,1.0,99.68,4.289628735739237
